kind,code,class_name,prof,room1,room2,date1,date2,start,end,kwan
전선,DP00018,영상매체시대의PR캠페인실습,최진봉,9990,,금,,09:00,11:50,성미가엘성당&피츠버그홀
전선,DP00019,포토샵과비주얼디자인,미지정(채용중),7305,,월,,15:00,17:50,새천년관
전선,DP00020,영상편집표현과구성,홍지영,3302,,월,,12:00,14:50,월당관
전선,DP00021,에프터이펙트기초,최대식,3302,,수,,15:00,17:50,월당관
전선,DP00022,미디어엔터테인먼트산업론,김정훈,7205,,월,,09:00,11:50,새천년관
전필,FH00005,경영정보시스템의이해,김수림,1504,1504,화,목,13:30,14:45,승연관
전필,FH00011,데이터베이스와SQL,김상준,B105,,금,,12:00,14:50,일만관
전선,FH00012,데이터시대의사회과학,김수림,7205,7205,화,목,16:30,17:45,새천년관
전선,FH00013,라이프데이터분석과AI,김수림김양희곽승우,B105,,금,,15:00,17:50,일만관
전선,FH00014,빅데이터보고서작성과표현기법,김양희,B105,B105,화,목,15:00,16:15,일만관
전선,FH00015,빅데이터프로그래밍,김양희,3302,3302,화,목,12:00,13:15,월당관
전필,FI00001,머신러닝입문,홍성준,6405,6405,화,목,16:30,17:45,정보과학관
전선,FI00005,고급Python프로그래밍,공준욱,6405,,화,,09:00,11:50,정보과학관
전선,FI00010,강화학습,이상윤,1503,,금,,12:00,14:50,승연관
전선,FI00011,인공지능수학,곽승우,6405,6405,월,수,15:00,16:15,정보과학관
전선,FI00012,순환신경망과자연어처리,곽승우,6405,6405,월,수,13:30,14:45,정보과학관
전필,XB00032,졸업지도,김명철,6206,,목,,18:25,19:15,정보과학관
전선,XE00014,인공지능캡스톤디자인,이상윤,6405,,금,,15:00,17:50,정보과학관
전선,FI00013,라이프데이터분석과AI,김수림김양희곽승우,B105,,금,,15:00,17:50,일만관
전선,IS00001,Javascript프로그래밍,이해신,6202,,금,,12:00,14:50,정보과학관
전필,IS00002,Java프로그래밍,김선형,6202,6202,화,목,13:30,14:45,정보과학관
전선,IS00004,데이터베이스,홍은지,6206,6206,월,수,13:30,14:45,정보과학관
전선,IS00005,데이터분석입문,이상욱,6206,,화,,09:00,11:50,정보과학관
전선,IS00008,논리회로설계,유상신,6202,,목,,09:00,11:50,정보과학관
전필,IS00010,전공지도,이하규,6406,,수,,18:25,19:15,정보과학관
전선,IS00011,C++프로그래밍,이하규,6406,6406,월,수,16:30,17:45,정보과학관
전필,IS00012,자료구조,김명철,6206,,목,,09:00,11:50,정보과학관
전필,IS00012,자료구조,김명철,6206,,금,,15:00,17:50,정보과학관
전필,IS00012,자료구조,이상욱,6206,6206,월,수,15:00,16:15,정보과학관
전선,IS00013,컴퓨터구조,유상신,6202,6202,화,목,12:00,13:15,정보과학관
전선,IS00014,JSP프로그래밍,박정식,6406,,목,,09:00,11:50,정보과학관
전선,IS00015,백엔드프로그래밍,김선형,6202,6202,화,목,15:00,16:15,정보과학관
전선,IS00015,백엔드프로그래밍,김선형,6202,6202,화,목,16:30,17:45,정보과학관
전선,IS00016,컴퓨터네트워크,유상신,6201,6201,화,목,16:30,17:45,정보과학관
전선,IS00016,컴퓨터네트워크,유상신,6201,6201,화,목,15:00,16:15,정보과학관
전선,IS00018,서버구축및형상관리,이승진,6202,,월,,09:00,11:50,정보과학관
전선,IS00019,신호및시스템,김학수,6201,6201,월,수,13:30,14:45,정보과학관
전필,IS00021,과정지도,임충규,6201,,월,,18:25,19:15,정보과학관
전선,IS00022,네트워크프로그래밍,박정식,6406,6406,화,목,13:30,14:45,정보과학관
전선,IS00024,리눅스시스템,박정식,6406,,화,,09:00,11:50,정보과학관
전선,IS00025,모바일프로그래밍,이종현,6406,,금,,09:00,11:50,정보과학관
전선,IS00026,백엔드프레임워크,이승진,6202,6202,월,수,12:00,13:15,정보과학관
전선,IS00030,컴퓨터그래픽스,임충규,6201,6201,월,수,16:30,17:45,정보과학관
전선,IS00031,프론트엔드프로그래밍,이승진,6202,6202,월,수,15:00,16:15,정보과학관
전선,IS00033,AI활용프로그래밍,김학수,6201,6201,월,수,15:00,16:15,정보과학관
전선,IS00034,Java네트워크프로그래밍,이승진,6202,6202,월,수,16:30,17:45,정보과학관
전선,IS00035,AR/VR시스템개발,임충규,6201,,수,,09:00,11:50,정보과학관
전선,IS00036,디지털영상처리,김학수,6202,,수,,09:00,11:50,정보과학관
전선,IS00038,TCP/IP,박정식,6406,6406,화,목,12:00,13:15,정보과학관
전선,IS00039,인터넷보안,이종현,6406,,금,,12:00,14:50,정보과학관
전선,IS00040,정보보호개론,이종현,6406,,금,,15:00,17:50,정보과학관
전선,IS00042,게임프로그래밍,임충규,6201,,월,,09:00,11:50,정보과학관
전선,IS00043,시스템분석및설계,문성현,6202,,금,,09:00,11:50,정보과학관
전선,IS00044,인공지능,이상욱,6206,6206,월,수,12:00,13:15,정보과학관
전선,IS00045,통계자료분석및실습,윤명호,3302,,월,,09:00,11:50,월당관
전선,IS00046,프론트엔드프레임워크,이승진,6202,6202,월,수,13:30,14:45,정보과학관
전선,IS00047,빅데이터응용,차현정,6201,,금,,15:00,17:50,정보과학관
전선,IS00048,고급Java프로그래밍,문성현,6201,,금,,12:00,14:50,정보과학관
